"party","type","constituency","candidate_hindi","candidate_english"
"JAN_SURAJ","latin-in-hindi","हरनौत","कमलेश पासवान (सामान्य सीट से SC उम्मीदवार)",""
"HAMS","latin-in-hindi","इमामगंज (अजा)","श्रीमती दीपा कुमारी (Smt. Deepa Kumari)",""
"HAMS","latin-in-hindi","टिकारी","श्री अनिल कुमार (Shri Anil Kumar)",""
"HAMS","latin-in-hindi","बाराचट्टी (अजा)","श्रीमती ज्योति देवी (Smt. Jyoti Devi)",""
"HAMS","latin-in-hindi","अतरी","श्री रोमित कुमार (Shri Romit Kumar)",""
"HAMS","latin-in-hindi","सिकंदरा (अजा)","श्री प्रफुल्ल कुमार मांझी (Shri Prafull Kumar Manjhi)",""
"HAMS","latin-in-hindi","कुटुंबा","श्री ललन राम (Shri Lalan Ram)",""
"BJP","latin-in-hindi","बेतिया","श्रीमती रेणु देवी (Smt. Renu Devi)",""
"BJP","latin-in-hindi","रक्सौल","श्री प्रमोद कुमार सिन्हा (Shri Pramod Kumar Sinha)",""
"BJP","latin-in-hindi","पिपरा","श्री श्यामबाबू प्रसाद यादव (Shri Shyambabu Prasad Yadav)",""
"BJP","latin-in-hindi","मधुबन","श्री राणा रणधीर सिंह (Shri Rana Randhir Singh)",""
"BJP","latin-in-hindi","मोतिहारी","श्री प्रमोद कुमार (Shri Pramod Kumar)",""
"BJP","latin-in-hindi","ढाका","श्री पवन जायसवाल (Shri Pawan Jaiswal)",""
"BJP","latin-in-hindi","रीगा","श्री बैद्यनाथ प्रसाद (Shri Baidyanath Prasad)",""
"BJP","latin-in-hindi","बथनाहा","श्री अनिल कुमार राम (Shri Anil Kumar Ram)",""
"BJP","latin-in-hindi","परिहार","श्रीमती गायत्री देवी (Smt. Gayatri Devi)",""
"BJP","latin-in-hindi","सीतामढ़ी","श्री सुनील कुमार पिंटू (Shri Sunil Kumar Pintu)",""
"BJP","latin-in-hindi","बेनीपट्टी","श्री विनोद नारायण झा (Shri Vinod Narayan Jha)",""
"BJP","latin-in-hindi","खजौली","श्री अरुण शंकर प्रसाद (Shri Arun Shankar Prasad)",""
"BJP","latin-in-hindi","बिस्फी","श्री हरिभूषण ठाकुर बचौल (Shri Haribhushan Thakur Bachaul)",""
"BJP","latin-in-hindi","राजनगर (अजा)","श्री सुजीत पासवान (Shri Sujeet Paswan)",""
"BJP","latin-in-hindi","झंझारपुर","श्री नीतीश मिश्रा (Shri Nitish Mishra)",""
"BJP","latin-in-hindi","छातापुर","श्री नीरज कुमार सिंह बबलू (Shri Neeraj Kumar Singh Bablu)",""
"BJP","latin-in-hindi","नरपतगंज","श्रीमती देवंती यादव (Smt. Devanti Yadav)",""
"BJP","latin-in-hindi","फारबिसगंज","श्री विद्या सागर केसरी (Shri Vidya Sagar Keshri)",""
"BJP","latin-in-hindi","सिकटी","श्री विजय कुमार मंडल (Shri Vijay Kumar Mandal)",""
"BJP","latin-in-hindi","किशनगंज","श्रीमती स्वीटी सिंह (Smt. Sweety Singh)",""
"BJP","latin-in-hindi","बनमनखी (अजा)","श्री कृष्ण कुमार ऋषि (Shri Krishna Kumar Rishi)",""
"BJP","latin-in-hindi","पूर्णिया","श्री विजय कुमार खेमका (Shri Vijay Kumar Khemka)",""
"BJP","latin-in-hindi","कटिहार","श्री तारकिशोर प्रसाद (Shri Tarkishore Prasad)",""
"BJP","latin-in-hindi","प्राणपुर","श्रीमती निशा सिंह (Smt. Nisha Singh)",""
"BJP","latin-in-hindi","कोढ़ा (अजा)","श्रीमती कविता देवी (Smt. Kavita Devi)",""
"BJP","latin-in-hindi","सहरसा","श्री आलोक रंजन झा (Shri Alok Ranjan Jha)",""
"BJP","latin-in-hindi","गौरा बौराम","श्री सुजीत कुमार सिंह (Shri Sujit Kumar Singh)",""
"BJP","latin-in-hindi","दरभंगा","श्री संजय सरावगी (Shri Sanjay Saraogi)",""
"BJP","latin-in-hindi","केवटी","श्री मुरारी मोहन झा (Shri Murari Mohan Jha)",""
"BJP","latin-in-hindi","जाले","श्री जिबेश कुमार मिश्रा (Shri Jibesh Kumar Mishra)",""
"BJP","latin-in-hindi","औराई","श्रीमती रमा निषाद (Smt. Rama Nishad)",""
"BJP","latin-in-hindi","कुढ़नी","श्री केदार प्रसाद गुप्ता (Shri Kedar Prasad Gupta)",""
"BJP","latin-in-hindi","बरुराज","श्री अरुण कुमार सिंह (Shri Arun Kumar Singh)",""
"BJP","latin-in-hindi","साहेबगंज","श्री राजू कुमार सिंह (Shri Raju Kumar Singh)",""
"BJP","latin-in-hindi","बैकुंठपुर","श्री मिथिलेश तिवारी (Shri Mithilesh Tiwari)",""
"BJP","latin-in-hindi","सीवान","श्री मंगल पांडेय (Shri Mangal Pandey)",""
"BJP","latin-in-hindi","दरौंदा","श्री कर्णजीत सिंह (Shri Karnjeet Singh)",""
"BJP","latin-in-hindi","गोरियाकोठी","श्री देवेश कांत सिंह (Shri Devesh Kant Singh)",""
"BJP","latin-in-hindi","तरैया","श्री जनक सिंह (Shri Janak Singh)",""
"BJP","latin-in-hindi","अमनौर","श्री कृष्ण कुमार मंटू (Shri Krishan Kumar Mantoo)",""
"BJP","latin-in-hindi","हाजीपुर","श्री अवधेश सिंह (Shri Awadhesh Singh)",""
"BJP","latin-in-hindi","लालगंज","श्री संजय कुमार सिंह (Shri Sanjay Kumar Singh)",""
"BJP","latin-in-hindi","पातेपुर (अजा)","श्री लखेंद्र कुमार रौशन (Shri Lakhendra Kumar Raushan)",""
"BJP","latin-in-hindi","मोहिउद्दीननगर","श्री राजेश कुमार सिंह (Shri Rajesh Kumar Singh)",""
"BJP","latin-in-hindi","बेगूसराय","श्री कुंदन कुमार (Shri Kundan Kumar)",""
"BJP","latin-in-hindi","भागलपुर","श्री रोहित पांडेय (Shri Rohit Pandey)",""
"BJP","latin-in-hindi","बाँका","श्री राम नारायण मंडल (Shri Ram Mandal)",""
"BJP","latin-in-hindi","कटोरिया (अजजा)","श्री पूरण लाल टुडू (Shri Puran Lal Tudu)",""
"BJP","latin-in-hindi","तारापुर","श्री सम्राट चौधरी (Shri Samrat Chaudhary)",""
"BJP","latin-in-hindi","मुंगेर","श्री कुमार प्रणय (Shri Kumar Pranay)",""
"BJP","latin-in-hindi","लखीसराय","श्री विजय कुमार सिन्हा (Shri Vijay Kumar Sinha)",""
"BJP","latin-in-hindi","बिहारशरीफ","डॉ सुनील कुमार (Dr. Sunil Kumar)",""
"BJP","latin-in-hindi","दीघा","श्री संजीव चौरसिया (Shri Sanjiv Chaurasia)",""
"BJP","latin-in-hindi","बाँकीपुर","श्री नितिन नबीन (Shri Nitin Nabin)",""
