party,constituency_raw,cleaned,candidate_name
"AAP","कुशेश्वरस्थान (दरभंगा)","कुशेश्वरस्थान","योगी चौपाल"
"AAP","फुलवारीशरीफ (पटना)","फुलवारीशरीफ","अरुण कुमार रजक"
"AAP","शेओहर (Sheohar)","शेओहर","अनीश झा (ANISH JHA)"
"AAP","सुरसंड (Sursand)","सुरसंड","ऋषि कुमार अग्रवाल (RISHI KUMAR AGGARWAL)"
"AAP","मरहौरा (Marhaura)","मरहौरा","सुशील कुमार यादव (SUSHIL KUMAR YADAV)"
"AAP","कुरथा (Kurtha)","कुरथा","उमाशंकर शरण (UMASHANKAR SHARAN)"
"JJD","बिक्रमगंज","बिक्रमगंज","डॉ. गुलशन यादव"
"JJD","बिक्रमगंज","बिक्रमगंज","अजीत कुशवाहा"
"INC","कोरहा-SC","कोरहा","सुश्री पूनम पासवान"
"INC","बछवारा","बछवारा","शिव प्रकाश गरीब दास"
"RJD","सिवान सदर (सिवान)","सिवान सदर","अवध बिहारी चौधरी"
"RJD","सिंघेश्वर","सिंघेश्वर","चंद्र हांस चौपाल"
"JAN_SURAJ","सुरसंड","सुरसंड","उषा किरण"
"JAN_SURAJ","नविनगर","नविनगर","अर्चना चंद्रा"
"JAN_SURAJ","बोधगया (अ.जा.)","बोधगया","लक्ष्मण मांझी"
"JAN_SURAJ","कोरहा (SC)","कोरहा","निर्मल कुमार राज"
"JAN_SURAJ","सोनबर्षा (SC)","सोनबर्षा","सत्येन्द्र हाजरा"
"JAN_SURAJ","कुशेश्वर अस्थान (SC)","कुशेश्वर अस्थान","शत्रुधन पासवान"
"JAN_SURAJ","बड़हरिया","बड़हरिया","डॉ. शाहनवाज"
"JAN_SURAJ","पटेपुर (SC)","पटेपुर","दशई चौधरी"
"JAN_SURAJ","रोसेरा (SC)","रोसेरा","रोहित पासवान"
"LJPRV","बोधगया (अनु.जाति)","बोधगया","श्री श्यामदेव पासवान"
"JDU","कुशेश्वरस्थान (अ.जा.) (SC)","कुशेश्वरस्थान","श्री अतिरेक कुमार"
"JDU","बड़हरिया","बड़हरिया","श्री इन्द्रदेव पटेल"
"JDU","राजापाकर (अ.जा.) (SC)","राजापाकर","श्री महेन्द्र राम"
"JDU","नालन्दा","नालन्दा","श्री श्रवण कुमार"
"JDU","सुरसंड","सुरसंड","श्री नागेन्द्र राउत"
"JDU","बराड़ी","बराड़ी","श्री विजय सिंह निषाद"
"JDU","कुरथी","कुरथी","श्री पप्पू कुमार वर्मा"
"JDU","बेलानगर","बेलानगर","श्रीमती मनोरमा देवी"
"BJP","बैकुण्ठपुर (Baikunthpur)","बैकुण्ठपुर","श्री मिथिलेश तिवारी (Shri Mithilesh Tiwari)"
"BJP","बछवारा (Bachhwara)","बछवारा","श्री सुरेंद्र मेहता (Shri Surendra Mehta)"
"BJP","तेघरा (Teghra)","तेघरा","श्री रजनीश कुमार (Shri Rajnish Kumar)"
"BJP","बड़हरा (Barhara)","बड़हरा","श्री राघवेंद्र प्रताप सिंह (Shri Raghvendra Pratap Singh)"
"BJP","गया शहर (Gaya Town)","गया शहर","डॉ प्रेम कुमार (Dr. Prem Kumar)"
"BJP","बाढ़","बाढ़","डॉ. सियाराम सिंह"
"BJP","मोहनीया (अजा)","मोहनीया","श्रीमती संगीता कुमारी"
