"party","csv_constituency","cleaned","candidate"
"AAP","मरहौरा (Marhaura)","मरहौरा","सुशील कुमार यादव (SUSHIL KUMAR YADAV)"
"AAP","कुरथा (Kurtha)","कुर्था","उमाशंकर शरण (UMASHANKAR SHARAN)"
"JJD","बिक्रमगंज","बिक्रमगंज","डॉ. गुलशन यादव"
"JJD","बिक्रमगंज","बिक्रमगंज","अजीत कुशवाहा"
"INC","बछवारा","बछवाड़ा","शिव प्रकाश गरीब दास"
"RJD","सिवान सदर (सिवान)","सिवान सदर","अवध बिहारी चौधरी"
"JAN_SURAJ","नविनगर","नविनगर","अर्चना चंद्रा"
"JAN_SURAJ","पटेपुर (SC)","पटेपुर","दशई चौधरी"
"JAN_SURAJ","रोसेरा (SC)","रोसेरा","रोहित पासवान"
"JDU","सिंहेश्वर अ0जा0 (SC)","सिंहेश्वर अ0जा0","श्री रमेश ऋष"
"JDU","बराड़ी","बराड़ी","श्री विजय सिंह निषाद"
"JDU","कुरथी","कुरथी","श्री पप्पू कुमार वर्मा"
"JDU","बेलानगर","बेलानगर","श्रीमती मनोरमा देवी"
"BJP","बछवारा (Bachhwara)","बछवाड़ा","श्री सुरेंद्र मेहता (Shri Surendra Mehta)"
"BJP","तेघरा (Teghra)","तेघरा","श्री रजनीश कुमार (Shri Rajnish Kumar)"
"BJP","बड़हरा (Barhara)","बड़हरा","श्री राघवेंद्र प्रताप सिंह (Shri Raghvendra Pratap Singh)"
"BJP","गया शहर (Gaya Town)","गया शहर","डॉ प्रेम कुमार (Dr. Prem Kumar)"
"BJP","बाढ़","बाढ़","डॉ. सियाराम सिंह"
"BJP","बायसी","बायसी","श्री विनोद यादव"
