Party,Constituency,Candidate Name,Reason
BJP,सिवान,मंगल पांडेय,Constituency not found in database
BJP,तेघरा,रजनीश कुमार,Constituency not found in database
JDU,महराजगंज,हेम नारायण साह,Constituency not found in database
JDU,सुरसंड,नागेन्द्र राउत,Constituency not found in database
JDU,हरनाखी,सुश्री धांशु शेखर,Constituency not found in database
JDU,कुर्था,पप्पू कुमार वर्मा,Constituency not found in database
JAN_SURAJ,सुरसंड,उषा किरण,Constituency not found in database
LJPRV,गोविंदगंज,राजू तिवारी,Constituency not found in database
AAP,गोविंदगंज,अशोक कुमार सिंह,Constituency not found in database
AAP,सुरसंड,ऋषि कुमार अग्रवाल,Constituency not found in database
AAP,कुर्था,उमाशंकर शरण,Constituency not found in database
CPIML,अरराह,क़यामुद्दीन अंसारी,Constituency not found in database
INC,गोविंदगंज,शशि भूषण राय,Constituency not found in database
RJD,महराजगंज,विशाल जायसवाल,Constituency not found in database
RJD,मरहौरा,जितेन्द्र राय,Constituency not found in database
RJD,सुरसंड,सैयद अबू दोजाना,Constituency not found in database
RJD,नरहट,अजीत सिंह,Constituency not found in database
RJD,कुर्था,सुश्री दय यादव,Constituency not found in database
