Party,Constituency,Candidate Name,Reason
BJP,बथनाहा),अनिल कुमार राम,Constituency name has extra parenthesis
BJP,राजनगर),सुजीत पासवान,Constituency name has extra parenthesis
BJP,बनमनखी),कृष्ण कुमार ऋषि,Constituency name has extra parenthesis
BJP,कोढ़ा),कविता देवी,Constituency name has extra parenthesis
BJP,बैकुण्ठपुर,मिथिलेश तिवारी,Spelling variation - should be बैकुंठपुर
BJP,सिवान,मंगल पांडेय,Spelling variation - should be सिवान
BJP,गोरेयाकोठी,देवेश कांत सिंह,Spelling variation - should be गोरियाकोठी
BJP,पातेपुर),लखेंद्र कुमार रौशन,Constituency name has extra parenthesis
BJP,बछवारा,सुरेन्द्र मेहता,Spelling variation - should be बछवाड़ा
BJP,तेघरा,रजनीश कुमार,Constituency not found in database
BJP,कटोरिया),पूरण लाल टुडू,Constituency name has extra parenthesis
BJP,बड़हरा,राघवेंद्र प्रताप सिंह,Spelling variation - should be बरहरा
BJP,गया शहर,डॉ. प्रेम कुमार,Spelling variation - should be गया टाउन
BJP,वारसलीगंज,श्रीमती अरुणा देवी,Spelling variation - should be वारिसलीगंज
BJP,हयाघाट,राम चंद्र प्रसाद,Spelling variation - should be हायाघाट
BJP,रोसड़ा,बीरेंद्र कुमार,Should be रोसड़ा (अजा)
BJP,रामनगर,नंद किशोर राम,Should be रामनगर (अजा)
BJP,बायसी,विनोद यादव,Spelling variation - should be बैसी
BJP,मोहनीया,श्रीमती संगीता कुमारी,Spelling variation - should be मोहनिया (अजा)
JDU,सोनबरसा,रत्,Incomplete candidate name
JDU,सकरा,आदित्,Incomplete candidate name
JDU,बड़हरिया,इन्द्रदेव पटेल,Spelling variation - should be बरहरिया
JDU,महराजगंज,हेम नारायण साह,Constituency not found in database
JDU,सराय रंजन,विजय कुमार चौधरी,Spelling variation - should be सरायरंजन
JDU,चेरिया बरियारपुर,अभिषेक कुमार,Spelling variation
JDU,अलौली,रामचंद्र सदा,Should be आलौली (अजा)
JDU,नालन्दा,श्रवण कुमार,Spelling variation - should be नालंदा
JDU,राजपुर,संतोष कुमार निराला,Should be राजपुर (अजा)
JDU,सुरसंड,नागेन्द्र राउत,Constituency not found
JDU,हरनाखी,सुधांशु शेखर,Constituency not found in database
